"series","episode","baker","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
8,2,"Yan","Tsou","'Mrs. Marian's PB 'n' B' Biscuits",1,"'Adventures in Bakeland' Game","IN",46,"Laboratory research scientist","North London"
8,2,"Chris","Geiger","Chocolate Chia Seed Biscuits with Whisky Caramel Filling",11,"'The Great British Sail Off' Game","OUT",50,"Software developer","Bristol"
8,2,"Steven","Carter-Bailey","Amarpressi Biscuits",6,"'Check Bake' Game","STAR BAKER",34,"Marketer","Watford, Hertfordshire"
8,2,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,3,"James","Hillery","Nordic Teacakes",9,"'Owl in the Woods' Bread Sculpture","IN",46,"Banker","Brentwood, Essex"
8,3,"Kate","Lyon","Blueberry Buns",10,"'Kraken' Bread Sculpture","IN",29,"Health and safety inspector","Merseyside"
8,3,"Liam","Charles","Jamaican Spiced Teacakes",5,"'Kneadapolitan' Bread Sculpture","IN",19,"Student","North London"
8,3,"Sophie","Faldo","Tagine Teacakes",6,"'Picnic Basket' Bread Sculpture","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,3,"Stacey","Hart","Cranberry and Cinnamon Teacakes",1,"'Ascot Hat' Bread Sculpture","IN",42,"Former school teacher","Radlett, Hertfordshire"
8,3,"Steven","Carter-Bailey","Madras Cocktail Teacakes",3,"'The Bag I Knead' Bread Sculpture","IN",34,"Marketer","Watford, Hertfordshire"
8,3,"Tom","Hetherington","Orange and Cranberry Teacakes",4,"'Pink & Yellow Rose Centrepiece' Bread Sculpture","IN",29,"Architect","Edinburgh"
8,3,"Yan","Tsou","'Mrs P's' Masala Chai Spiced Teacakes",8,"'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","IN",46,"Laboratory research scientist","North London"
8,3,"Flo","Atkins","Cinnamon and Orange Teacakes",7,"'Davy Jones' Locker' Bread Sculpture","OUT",71,"Retired","Merseyside"
8,3,"Julia","Chernogorova","Earl Grey Dried Fruit Teacakes",2,"'The Snail Under a Mushroom' Bread Sculpture","STAR BAKER",21,"Aviation Broker","Crawley, West Sussex"
8,3,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,3,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,4,"James","Hillery","'Windy City' Millionaire Shortbreads",2,"Nutty Caramel Cake","IN",46,"Banker","Brentwood, Essex"
8,4,"Julia","Chernogorova","Pecan Salted Caramel Millionaire Shortbreads",9,"Poppy Seed Caramel Cake","IN",21,"Aviation Broker","Crawley, West Sussex"
8,4,"Liam","Charles","Salted Peanut Butter Millionaire Shortbreads",3,"White Layered Ginger Caramel Cake","IN",19,"Student","North London"
8,4,"Sophie","Faldo","Jaffa Millionaire Shortbreads",4,"Bird's Nest Caramel Cake","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,4,"Stacey","Hart","Rum Salted Caramel Millionaire Shortbreads",1,"Chocolate and Coffee Caramel Cake","IN",42,"Former school teacher","Radlett, Hertfordshire"
8,4,"Steven","Carter-Bailey","Orange Macadamia Nut Millionaire Shortbreads",7,"Caramel Crown Cake","IN",34,"Marketer","Watford, Hertfordshire"
8,4,"Yan","Tsou","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads",8,"Animals of the Rainforest Caramel Cake","IN",46,"Laboratory research scientist","North London"
8,4,"Tom","Hetherington","Stem Ginger Caramel Shortbreads",5,"Hummingbird Cake","OUT",29,"Architect","Edinburgh"
8,4,"Kate","Lyon","Salted Bay Caramel Millionaire Shortbreads",6,"Sticky Toffee Apple Caramel Cake","STAR BAKER",29,"Health and safety inspector","Merseyside"
8,4,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,4,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,4,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,5,"Julia","Chernogorova","Orange & Treacle Steamed School Pudding",3,"'Opulent Ornament' Trifle Terrine","IN",21,"Aviation Broker","Crawley, West Sussex"
8,5,"Kate","Lyon","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding",8,"'My Great Great Nan's' Raspberry Trifle Terrine","IN",29,"Health and safety inspector","Merseyside"
8,5,"Liam","Charles","Cherries & Lemons that are 'Baked Well'",2,"'Cheers Lads' Trifle Terrine","IN",19,"Student","North London"
8,5,"Stacey","Hart","Bakewell Tart Steamed School Pudding",4,"Tropical Trifle Terrine","IN",42,"Former school teacher","Radlett, Hertfordshire"
8,5,"Steven","Carter-Bailey","Lemon & Blackcurrant Drizzle Steamed School Pudding",5,"'From Across the Jelly Pond' Trifle Terrine","IN",34,"Marketer","Watford, Hertfordshire"
8,5,"Yan","Tsou","Mango Fruit Hat Steamed School Pudding",6,"'Heart of a Hero' Trifle Terrine","IN",46,"Laboratory research scientist","North London"
8,5,"James","Hillery","Orange and Ginger Steamed School Pudding",7,"'The Missed Silver Jubilee' Trifle Terrine","OUT",46,"Banker","Brentwood, Essex"
8,5,"Sophie","Faldo","Ginger, Fig and Honey Steamed School Pudding",1,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","STAR BAKER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,5,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,5,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,5,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,5,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,6,"Kate","Lyon","'Vegetarian Pie Faces' Decorative Pies",5,"Potato Curry Pie with Mango & Chilli Glaze","IN",29,"Health and safety inspector","Merseyside"
8,6,"Sophie","Faldo","'The Four Seasons' Decorative Pies",2,"Game Pie with Glazed Forest Fruits","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,6,"Stacey","Hart","'Love Theme' Decorative Pies",6,"Indian Hand Raised Pie with Mango","IN",42,"Former school teacher","Radlett, Hertfordshire"
8,6,"Steven","Carter-Bailey","'Fleetwood Mac' Decorative Pies",3,"Christmas Pie","IN",34,"Marketer","Watford, Hertfordshire"
8,6,"Yan","Tsou","'πr2' Decorative Pies",1,"Chequerboard Pie","IN",46,"Laboratory research scientist","North London"
8,6,"Julia","Chernogorova","'Pies from the Tree' Decorative Pies",7,"'Special Occasion' Pie","OUT",21,"Aviation Broker","Crawley, West Sussex"
8,6,"Liam","Charles","'Standard FC' Decorative Pies",4,"'Nan's Sunday Dinner' Pie","STAR BAKER",19,"Student","North London"
8,6,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,6,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,6,"James","Hillery",NA,NA,NA,NA,46,"Banker","Brentwood, Essex"
8,6,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,6,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,7,"Kate","Lyon","'Happy Hour' Cocktail Cannoli",6,"'Flavour Fusion' Sfogliatelle","IN",29,"Health and safety inspector","Merseyside"
8,7,"Liam","Charles","'Just Doing Me' Cannoli",2,"'Morning Delivery' Sfogliatelle","IN",19,"Student","North London"
8,7,"Sophie","Faldo","'Classics with a Twist' Cannoli",3,"'Classics' Sfogliatelle","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,7,"Stacey","Hart","My All Time Favourite Desserts",4,"Pastry Surprise","IN",42,"Former school teacher","Radlett, Hertfordshire"
8,7,"Yan","Tsou","Cannoli Cocktails",5,"Canadian-Style Sfogliatelle","OUT",46,"Laboratory research scientist","North London"
8,7,"Steven","Carter-Bailey","Italian Style Cannoli",1,"'Sicilian-style' Sfogliatelle","STAR BAKER",34,"Marketer","Watford, Hertfordshire"
8,7,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,7,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,7,"James","Hillery",NA,NA,NA,NA,46,"Banker","Brentwood, Essex"
8,7,"Julia","Chernogorova",NA,NA,NA,NA,21,"Aviation Broker","Crawley, West Sussex"
8,7,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,7,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,8,"Kate","Lyon","Burrito Bedfordshire Clangers",2,"'Liver Building Turret' Savoy Cake","IN",29,"Health and safety inspector","Merseyside"
8,8,"Sophie","Faldo","Char Siu & Banana Praline Bedfordshire Clangers",4,"Citrus with Green Apple Croquembouche Savoy Cake","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,8,"Steven","Carter-Bailey","'Mediterranean Medley' Bedfordshire Clangers",1,"Chestnut Rum Savoy Cake","IN",34,"Marketer","Watford, Hertfordshire"
8,8,"Liam","Charles","'Take Out' Bedfordshire Clangers",5,"'Fort Wizardore' Savoy Cake","OUT",19,"Student","North London"
8,8,"Stacey","Hart","Camembert & Onion and Apple & Blueberry Bedfordshire Clangers",3,"'Bright' Lemon & Orange Savoy Cake","STAR BAKER",42,"Former school teacher","Radlett, Hertfordshire"
8,8,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,8,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,8,"James","Hillery",NA,NA,NA,NA,46,"Banker","Brentwood, Essex"
8,8,"Julia","Chernogorova",NA,NA,NA,NA,21,"Aviation Broker","Crawley, West Sussex"
8,8,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,8,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,8,"Yan","Tsou",NA,NA,NA,NA,46,"Laboratory research scientist","North London"
8,9,"Kate","Lyon","Bellini and Valencian Orange Choux Buns",4,"'Rainbow' Meringue Centrepiece","IN",29,"Health and safety inspector","Merseyside"
8,9,"Steven","Carter-Bailey","Key Lime Cheesecake and Bakewell Tart Choux Buns",3,"'Some Air Over the Rainbow' Meringue Centrepiece","IN",34,"Marketer","Watford, Hertfordshire"
8,9,"Stacey","Hart","'Choux-nicorn and Choux-moji' Choux Buns",2,"'Flamingos in Love' Meringue Centrepiece","OUT",42,"Former school teacher","Radlett, Hertfordshire"
8,9,"Sophie","Faldo","Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns",1,"'Tutu with Opera Filling' Meringue Centrepiece","STAR BAKER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,9,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,9,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,9,"James","Hillery",NA,NA,NA,NA,46,"Banker","Brentwood, Essex"
8,9,"Julia","Chernogorova",NA,NA,NA,NA,21,"Aviation Broker","Crawley, West Sussex"
8,9,"Liam","Charles",NA,NA,NA,NA,19,"Student","North London"
8,9,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,9,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,9,"Yan","Tsou",NA,NA,NA,NA,46,"Laboratory research scientist","North London"
8,10,"Kate","Lyon","Roman Spelt, Coconut Kala Chana and Flower Breads",3,"White Chocolate, Yuzu and Lychee Entremet","Runner-up",29,"Health and safety inspector","Merseyside"
8,10,"Steven","Carter-Bailey","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,"'Yin Yang' Entremet","Runner-up",34,"Marketer","Watford, Hertfordshire"
8,10,"Sophie","Faldo","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2,"'Ode to the Honey Bee' Entremet","WINNER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,10,"Chris","Geiger",NA,NA,NA,NA,50,"Software developer","Bristol"
8,10,"Flo","Atkins",NA,NA,NA,NA,71,"Retired","Merseyside"
8,10,"James","Hillery",NA,NA,NA,NA,46,"Banker","Brentwood, Essex"
8,10,"Julia","Chernogorova",NA,NA,NA,NA,21,"Aviation Broker","Crawley, West Sussex"
8,10,"Liam","Charles",NA,NA,NA,NA,19,"Student","North London"
8,10,"Peter","Abatan",NA,NA,NA,NA,52,"IT programme manager","Southend, Essex"
8,10,"Stacey","Hart",NA,NA,NA,NA,42,"Former school teacher","Radlett, Hertfordshire"
8,10,"Tom","Hetherington",NA,NA,NA,NA,29,"Architect","Edinburgh"
8,10,"Yan","Tsou",NA,NA,NA,NA,46,"Laboratory research scientist","North London"
9,1,"Antony","Amourdoux",NA,12,NA,"IN",30,"Banker","London"
9,1,"Briony","Williams",NA,2,NA,"IN",33,"Full-time parent","Bristol"
9,1,"Dan","Beasley-Harling",NA,4,NA,"IN",36,"Full-time parent","London"
9,1,"Jon","Jenkins",NA,5,NA,"IN",47,"Blood courier","Newport"
9,1,"Karen","Wright",NA,6,NA,"IN",60,"In-store sampling assistant","Wakefield"
9,1,"Kim-Joy","Hewlett",NA,10,NA,"IN",27,"Mental health specialist","Leeds"
9,1,"Luke","Thompson",NA,8,NA,"IN",30,"Civil servant/house and techno DJ","Sheffield"
9,1,"Rahul","Mandal",NA,7,NA,"IN",30,"Research scientist","Rotherham"
9,1,"Ruby","Bhogal",NA,1,NA,"IN",29,"Project manager","London"
9,1,"Terry","Hartill",NA,9,NA,"IN",56,"Retired air steward","West Midlands"
9,1,"Imelda","McCarron",NA,11,NA,"OUT",33,"Countryside recreation officer","County Tyrone"
9,1,"Manon","Lagrave",NA,3,NA,"STAR BAKER",26,"Software project manager","London"
9,2,"Antony","Amourdoux",NA,9,NA,"IN",30,"Banker","London"
9,2,"Briony","Williams",NA,5,NA,"IN",33,"Full-time parent","Bristol"
9,2,"Dan","Beasley-Harling",NA,3,NA,"IN",36,"Full-time parent","London"
9,2,"Jon","Jenkins",NA,1,NA,"IN",47,"Blood courier","Newport"
9,2,"Karen","Wright",NA,11,NA,"IN",60,"In-store sampling assistant","Wakefield"
9,2,"Kim-Joy","Hewlett",NA,4,NA,"IN",27,"Mental health specialist","Leeds"
9,2,"Manon","Lagrave",NA,6,NA,"IN",26,"Software project manager","London"
9,2,"Ruby","Bhogal",NA,10,NA,"IN",29,"Project manager","London"
9,2,"Terry","Hartill",NA,8,NA,"IN",56,"Retired air steward","West Midlands"
9,2,"Luke","Thompson",NA,7,NA,"OUT",30,"Civil servant/house and techno DJ","Sheffield"
9,2,"Rahul","Mandal",NA,2,NA,"STAR BAKER",30,"Research scientist","Rotherham"
9,2,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,3,"Briony","Williams",NA,9,NA,"IN",33,"Full-time parent","Bristol"
9,3,"Dan","Beasley-Harling",NA,6,NA,"IN",36,"Full-time parent","London"
9,3,"Jon","Jenkins",NA,2,NA,"IN",47,"Blood courier","Newport"
9,3,"Karen","Wright",NA,5,NA,"IN",60,"In-store sampling assistant","Wakefield"
9,3,"Kim-Joy","Hewlett",NA,10,NA,"IN",27,"Mental health specialist","Leeds"
9,3,"Manon","Lagrave",NA,3,NA,"IN",26,"Software project manager","London"
9,3,"Ruby","Bhogal",NA,7,NA,"IN",29,"Project manager","London"
9,3,"Terry","Hartill",NA,1,NA,"IN",56,"Retired air steward","West Midlands"
9,3,"Antony","Amourdoux",NA,8,NA,"OUT",30,"Banker","London"
9,3,"Rahul","Mandal",NA,4,NA,"STAR BAKER",30,"Research scientist","Rotherham"
9,3,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,3,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,4,"Terry","Hartill",NA,NA,NA,"[a]",56,"Retired air steward","West Midlands"
9,4,"Briony","Williams",NA,5,NA,"IN",33,"Full-time parent","Bristol"
9,4,"Jon","Jenkins",NA,3,NA,"IN",47,"Blood courier","Newport"
9,4,"Karen","Wright",NA,7,NA,"IN",60,"In-store sampling assistant","Wakefield"
9,4,"Kim-Joy","Hewlett",NA,6,NA,"IN",27,"Mental health specialist","Leeds"
9,4,"Manon","Lagrave",NA,8,NA,"IN",26,"Software project manager","London"
9,4,"Rahul","Mandal",NA,4,NA,"IN",30,"Research scientist","Rotherham"
9,4,"Ruby","Bhogal",NA,2,NA,"IN",29,"Project manager","London"
9,4,"Dan","Beasley-Harling",NA,1,NA,"STAR BAKER",36,"Full-time parent","London"
9,4,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
9,4,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,4,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,5,"Briony","Williams",NA,6,NA,"IN",33,"Full-time parent","Bristol"
9,5,"Dan","Beasley-Harling",NA,2,NA,"IN",36,"Full-time parent","London"
9,5,"Jon","Jenkins",NA,7,NA,"IN",47,"Blood courier","Newport"
9,5,"Manon","Lagrave",NA,5,NA,"IN",26,"Software project manager","London"
9,5,"Rahul","Mandal",NA,3,NA,"IN",30,"Research scientist","Rotherham"
9,5,"Ruby","Bhogal",NA,1,NA,"IN",29,"Project manager","London"
9,5,"Karen","Wright",NA,9,NA,"OUT",60,"In-store sampling assistant","Wakefield"
9,5,"Terry","Hartill",NA,8,NA,"OUT",56,"Retired air steward","West Midlands"
9,5,"Kim-Joy","Hewlett",NA,4,NA,"STAR BAKER",27,"Mental health specialist","Leeds"
9,5,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
9,5,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,5,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,6,"Jon","Jenkins",NA,2,NA,"IN",47,"Blood courier","Newport"
9,6,"Kim-Joy","Hewlett",NA,5,NA,"IN",27,"Mental health specialist","Leeds"
9,6,"Manon","Lagrave",NA,4,NA,"IN",26,"Software project manager","London"
9,6,"Rahul","Mandal",NA,3,NA,"IN",30,"Research scientist","Rotherham"
9,6,"Ruby","Bhogal",NA,7,NA,"IN",29,"Project manager","London"
9,6,"Dan","Beasley-Harling",NA,6,NA,"OUT",36,"Full-time parent","London"
9,6,"Briony","Williams",NA,1,NA,"STAR BAKER",33,"Full-time parent","Bristol"
9,6,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
9,6,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,6,"Karen","Wright",NA,NA,NA,NA,60,"In-store sampling assistant","Wakefield"
9,6,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,6,"Terry","Hartill",NA,NA,NA,NA,56,"Retired air steward","West Midlands"
9,7,"Briony","Williams",NA,5,NA,"IN",33,"Full-time parent","Bristol"
9,7,"Manon","Lagrave",NA,2,NA,"IN",26,"Software project manager","London"
9,7,"Rahul","Mandal",NA,1,NA,"IN",30,"Research scientist","Rotherham"
9,7,"Ruby","Bhogal",NA,3,NA,"IN",29,"Project manager","London"
9,7,"Jon","Jenkins",NA,4,NA,"OUT",47,"Blood courier","Newport"
9,7,"Kim-Joy","Hewlett",NA,6,NA,"STAR BAKER",27,"Mental health specialist","Leeds"
9,7,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
9,7,"Dan","Beasley-Harling",NA,NA,NA,NA,36,"Full-time parent","London"
9,7,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,7,"Karen","Wright",NA,NA,NA,NA,60,"In-store sampling assistant","Wakefield"
9,7,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,7,"Terry","Hartill",NA,NA,NA,NA,56,"Retired air steward","West Midlands"
9,8,"Briony","Williams",NA,1,NA,"IN",33,"Full-time parent","Bristol"
9,8,"Kim-Joy","Hewlett",NA,2,NA,"IN",27,"Mental health specialist","Leeds"
9,8,"Rahul","Mandal",NA,5,NA,"IN",30,"Research scientist","Rotherham"
9,8,"Manon","Lagrave",NA,4,NA,"OUT",26,"Software project manager","London"
9,8,"Ruby","Bhogal",NA,3,NA,"STAR BAKER",29,"Project manager","London"
9,8,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
9,8,"Dan","Beasley-Harling",NA,NA,NA,NA,36,"Full-time parent","London"
9,8,"Imelda","McCarron",NA,NA,NA,NA,33,"Countryside recreation officer","County Tyrone"
9,8,"Jon","Jenkins",NA,NA,NA,NA,47,"Blood courier","Newport"
9,8,"Karen","Wright",NA,NA,NA,NA,60,"In-store sampling assistant","Wakefield"
9,8,"Luke","Thompson",NA,NA,NA,NA,30,"Civil servant/house and techno DJ","Sheffield"
9,8,"Terry","Hartill",NA,NA,NA,NA,56,"Retired air steward","West Midlands"
9,9,"Kim-Joy","Hewlett",NA,2,NA,"IN",27,"Mental health specialist","Leeds"
9,9,"Rahul","Mandal",NA,4,NA,"IN",30,"Research scientist","Rotherham"
9,9,"Briony","Williams",NA,3,NA,"OUT",33,"Full-time parent","Bristol"
9,9,"Ruby","Bhogal",NA,1,NA,"STAR BAKER",29,"Project manager","London"
9,9,"Antony","Amourdoux",NA,NA,NA,NA,30,"Banker","London"
